pdf,page,chars_off_page,chars_on_page,page_width,page_height,leftmost_x,rightmost_x,what_it_says
2013-11-13_r17_ORDINARIA.pdf,44,9,3103,595.3,841.9,666.7,666.7,◄ Ver el 
2013-11-13_r17_ORDINARIA.pdf,94,17,2899,595.3,841.9,683.7,697.2,Ver el Apéndice. 
2014-10-29_r18_ORDINARIA.pdf,27,2,3845,595.3,841.9,703.9,709.9,2 
2018-04-18_r03_ORDINARIA.pdf,126,1,152,595.3,841.9,654.5,654.5, 
2018-05-30_r06_ESPECIAL.pdf,1,14,603,595.3,841.9,92.3,220.6,(PROVISIONAL) 
2018-08-09_r11_ESPECIAL_EN_MINORIA.pdf,1,14,400,595.3,841.9,103.0,231.3,(PROVISIONAL) 
2018-08-15_r12_ESPECIAL_EN_MINORIA.pdf,1,14,434,595.3,841.9,102.7,231.1,(PROVISIONAL) 
2018-08-22_r13_ESPECIAL.pdf,141,1,143,595.3,841.9,656.6,656.6, 
2018-10-10_r16_ORDINARIA.pdf,1,28,602,595.3,841.9,11.4,264.8,(PROVISIONAL) (PROVISIONAL) 
2018-11-14_r17_ESPECIAL.pdf,1,14,870,595.3,841.9,95.5,261.8,(PROVISIONAL) 
2018-12-19_r20_EXTRAORDINARIA.pdf,1,14,580,595.3,841.9,97.2,263.4,(PROVISIONAL) 
2019-02-27_r01_PREPARATORIA.pdf,1,14,376,595.3,841.9,97.3,263.6,(PROVISIONAL) 
2019-03-01_r00_ASAMBLEA.pdf,1,14,458,595.3,841.9,97.5,263.7,(PROVISIONAL) 
2019-03-20_r02_ORDINARIA.pdf,1,14,475,595.3,841.9,98.4,264.6,(PROVISIONAL) 
2019-03-20_r02_ORDINARIA.pdf,100,1,128,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,101,1,129,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,102,1,129,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,104,1,130,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,105,1,130,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,106,1,130,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,107,1,130,595.3,841.9,654.5,654.5, 
2019-03-20_r02_ORDINARIA.pdf,108,1,131,595.3,841.9,654.5,654.5, 
2019-03-27_r03_ORDINARIA_CONTINUACION.pdf,1,14,427,595.3,841.9,98.4,264.6,(PROVISIONAL) 
2019-03-27_r04_INFORMATIVA_ESPECIAL.pdf,1,14,475,595.3,841.9,97.3,263.6,(PROVISIONAL) 
2019-04-16_r05_ESPECIAL.pdf,1,1,447,595.3,841.9,180.4,180.4, 
2019-11-13_r09_ESPECIAL.pdf,64,1,113,595.3,841.9,654.4,654.4, 
23-07-2020_ESPECIAL.pdf,135,1,121,595.3,841.9,645.8,645.8, 
24-06-2021_ESPECIAL.pdf,151,1,155,595.3,841.9,644.6,644.6, 
27-11-2020_ESPECIAL.pdf,138,1,163,595.3,841.9,654.5,654.5, 
28-10-2021_ORDINARIA.pdf,93,1,173,595.3,841.9,654.2,654.2, 
